linea,segmento,tren_a,unidad_a,tren_b,unidad_b,dist_mid,hora_mid
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20003,SFE 2,L2-CW->CC-20004,SFE 3,2.0,420.5
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20015,SFE 8,L2-CW->CC-20016,SFE 9,2.0,477.5
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20017,SFE 9,L2-CW->CC-20022,SFE 1,2.0,500.5
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20023,SFE 1,L2-CW->CC-20024,SFE 2,2.0,511.5
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20035,SFE 9,L2-CW->CC-20036,SFE 1,2.0,593.3
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20041,SFE 3,L2-CW->CC-20042,SFE 5,2.0,633.3
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20053,SFE 3,L2-CW->CC-20054,SFE 8,2.0,733.3
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20071,SFE 5,L2-CW->CC-20072,SFE 1,2.0,1003.3
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20077,SFE 4,L2-CW->CC-20078,SFE 8,2.0,1048.1
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20079,SFE 8,L2-CW->CC-20082,SFE 3,2.0,1060.1
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20083,SFE 3,L2-CW->CC-20084,SFE 9,2.0,1072.1
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20085,SFE 9,L2-CW->CC-20086,SFE 2,2.0,1084.1
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20087,SFE 2,L2-CW->CC-20088,SFE 5,2.0,1096.1
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20089,SFE 5,L2-CW->CC-20090,SFE 1,2.0,1108.1
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20091,SFE 1,L2-CW->CC-20092,SFE 7,2.0,1120.1
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20093,SFE 7,L2-CW->CC-20094,SFE 4,2.0,1132.1
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20095,SFE 4,L2-CW->CC-20098,SFE 8,2.0,1144.1
L2,Concepción–salida Túnel Chepe,L2-CC->CW-20099,SFE 8,L2-CW->CC-20100,SFE 3,2.0,1161.1
L1,Hualqui–La Leonera,L1-LJ->TH-20311,SFE 4,L1-TH->LJ-20308,UT 2,51.12,564.0
L1,Hualqui–La Leonera,L1-LJ->TH-20862,SFE B1,L1-TH->LJ-20855,SFE B3,51.12,1312.5
