linea,km,n_agujas
L2,2.6,1
L2,2.7,1
L2,2.9,1
L2,3.0,1
L2,3.4,1
L2,3.5,1
L2,3.7,1
L2,4.1,1
L2,4.2,1
L2,7.5,1
L2,7.6,1
L2,7.7,1
L2,10.0,1
L2,10.1,1
L2,10.2,1
L2,10.5,1
L2,11.4,1
L2,11.7,1
L2,11.8,1
L2,18.7,1
L2,18.8,1
L2,19.6,1
L2,19.7,1
L2,19.9,1
L2,20.0,1
L2,20.1,1
L2,22.2,1
L2,22.3,1
L2,25.1,1
L2,25.2,1
L2,25.5,1
L2,27.1,1
L2,27.2,1
L2,27.3,1
L2,27.4,1
L2,27.5,1
L2,27.7,1
L2,27.8,1
L2,27.9,1
L2,29.6,1
L2,29.8,1
L2,30.0,1
L2,30.5,1
L2,30.6,1
L2,30.8,1
L2,32.2,1
L2,33.1,1
L1,7.7,1
L1,8.4,1
L1,8.5,1
L1,9.1,1
L1,14.6,1
L1,14.7,1
L1,14.8,1
L1,15.0,1
L1,15.2,1
L1,15.3,1
L1,15.4,1
L1,15.7,1
L1,16.2,1
L1,16.3,1
L1,22.3,1
L1,22.7,1
L1,22.8,1
L1,22.9,1
L1,23.1,1
L1,23.3,1
L1,23.4,1
L1,28.8,1
L1,30.0,1
L1,36.1,1
L1,36.3,1
L1,36.6,1
L1,36.7,1
L1,36.8,1
L1,37.1,1
L1,37.3,1
L1,37.4,1
L1,46.5,1
L1,46.8,1
L1,46.9,1
L1,47.0,1
L1,47.2,1
L1,47.6,1
L1,52.8,1
L1,52.9,1
L1,53.5,1
L1,53.6,1
L1,54.6,1
L1,54.7,1
L1,55.7,1
L1,59.9,1
L1,60.0,1
L1,60.3,1
L1,60.4,1
L1,60.5,1
L1,60.8,1
L1,60.9,1
L1,69.2,1
L1,69.3,1
L1,69.4,1
L1,69.5,1
L1,69.6,1
L1,69.8,1
L1,70.3,1
L1,70.4,1
L1,70.5,1
L1,70.6,1
L1,70.9,1
L1,71.0,1
L1,71.1,1
L1,71.2,1
L1,71.3,1
L1,71.5,1
L1,71.6,1
L1,71.8,1
L1,71.9,1
L1,72.0,1
L1,82.2,1
L1,82.3,1
L1,82.4,1
L1,82.5,1
L1,82.6,1
L1,83.1,1
L1,83.2,1
L1,83.3,1
