code,linea,km,nombre
LJ,L1,1.6,Laja
SR,L1,4.0,San Rosendo
BU,L1,8.467240506329114,Buenuraqui
GO,L1,15.3237265917603,Gomero
TL,L1,22.798323529411764,Talcamávida
TLUN1,L1,24.466,Los Acacios (*)
TLUN2,L1,27.1445,Valle Chanco (*)
UN,L1,29.396555555555555,Unihue
UNQU1,L1,34.03585714285715,San Miguel (*)
QU,L1,36.52961111111111,Quilacoya
HQ,L1,46.91666972477064,Hualqui
OH,L1,53.20996078431373,Omer Huet
ZW,L1,55.320057142857145,La Leonera
ZWCV1,L1,57.03266666666667,Manquimávida (*)
ZWCV2,L1,58.728,Pedro Medina (*)
CV,L1,60.309954954954954,Chiguayante
CC,L1,68.52149299719888,Concepción
CCEZ1,L1,72.878,Lorenzo Arenas (*)
CCEZ2,L1,76.06,UTF Santa María (*)
CCEZ3,L1,79.21499999999999,Los Cóndores (*)
CCEZ4,L1,81.36,Hospital Las Higueras (*)
EZ,L1,82.78960000000001,El Arenal
TH,L1,84.778,Talcahuano (cerr.)
EZTH1,L1,84.996,Mercado (*)
CC,L2,1.0,Concepción
BB,L2,3.3507803468208097,Biobío
BBJ,L2,3.8392000000000004,Juan Pablo II  (*)
BBD,L2,5.571000000000001,Diagonal Biobío (*)
SU,L2,7.439134328358208,Boca Sur (Alborada)
SUC,L2,8.292,Costa Mar (*)
SUP,L2,9.82875,El Parque (*)
LM,L2,11.025709677419355,Lomas Coloradas
LMC,L2,13.281500000000001,Cardenal Raúl Silva Henríquez (*)
ES,L2,19.398009708737863,Escuadrón
LMH,L2,19.510333333333335,Hito Galvarino (*)
ESC,L2,22.526,Los Canelos (*)
ESH,L2,23.375,Huinca (*)
GU,L2,23.803906779661016,Lagunillas (Cristo Redentor)
GUQ,L2,26.189999999999998,Laguna Quiñenco (*)
CW,L2,27.35515950920245,Coronel
CWS,L2,29.074571428571428,Coronel Sur (*)
JC,L2,29.494,Puerto Coronel
TS,L2,30.221393258426968,Patio Sur Coronel
YN,L2,32.79948484848485,Playa Blanca
TSC,L2,35.467,Chiflón (*)
TSO,L2,35.981,Cousiño (*)
LT,L2,36.60425,Lota
CO,L2,39.0,Colcura (desv.)
AQ,L2,47.4,Laraquete (cerr.)
