vehicle_id,nombre,largo_m,vmax_kmh,masa_bruta_t,masa_adherente_t,potencia_w,factor_masa_rotante,modo_propulsion,flota_biotren
engine-1,UT-CM (O),25.0,140.0,65.0,65.0,1550000.0,1.06,DC 3000V,True
engine-2,D-3350 (CDA5D1),20.0,100.0,120.0,120.0,1672222.0,1.06,other,False
engine-3,UT-CM,25.0,120.0,65.0,65.0,1250000.0,1.06,DC 3000V,True
engine-4,UT-CM (R),25.0,120.0,65.0,65.0,1250000.0,1.06,DC 3000V,True
engine-5,SFE-100 M1 (AW3),26.0,132.0,68.14,68.14,2388889.0,1.06,DC 3000V,True
engine-6,SFE-100/200 M (AW3),26.0,132.0,68.14,68.14,1200000.0,1.06,DC 3000V,True
engine-7,SFE-100/200 M (Vacío),26.0,132.0,50.5,50.5,1200000.0,1.06,DC 3000V,True
engine-8,SFE-100 M1 200A (AW3),26.0,130.0,68.14,68.14,750000.0,1.06,DC 3000V,True
engine-9,SFE-100 200A (AW3),77.0,116.0,194.1,194.1,354444.0,1.06,DC 3000V,True
engine-10,SFE-100 200A (0),77.0,116.0,139.5,139.5,354444.0,1.06,DC 3000V,True
engine-11,SFE-100 400A (AW3),77.0,120.0,194.1,194.1,900000.0,1.06,DC 3000V,True
engine-12,SFE-100 600A (AW3),77.0,120.0,194.1,194.1,1425000.0,1.06,DC 3000V,True
engine-13,SFE-100 800A (AW3),77.0,120.0,194.1,194.1,2125000.0,1.06,DC 3000V,True
engine-14,SFE-100 normal (AW3),77.0,120.0,194.1,194.1,2400000.0,1.06,DC 3000V,True
engine-15,SFD-300 M1,26.0,120.0,51.0,51.0,533333.0,1.06,other,False
engine-16,SFD-300 normal AW3,52.0,120.0,133.95,133.95,995555.0,1.06,other,False
engine-17,D-1800,18.0,110.0,107.0,107.0,1344444.0,1.06,other,False
engine-18,D-1000,14.0,90.0,69.0,69.0,750000.0,1.06,other,False
engine-19,D-2340 (SDL-39),17.0,120.0,113.0,113.0,1733333.0,1.06,other,False
engine-20,D-2350 (SD-39 2M),18.0,120.0,135.0,135.0,1700000.0,1.06,other,False
engine-21,D-3000 (SD-40),20.0,110.0,119.0,119.0,2261111.0,1.06,other,False
