servicio,sentido,afluencia,supera_capacidad
20001,CC->CW,383.0,False
20000,CW->CC,431.0,False
20301,HQ->TH,240.0,False
20300,TH->HQ,246.0,False
20003,CC->CW,299.0,False
20002,CW->CC,526.0,False
20305,HQ->TH,533.0,False
20304,TH->HQ,204.0,False
20005,CC->CW,460.0,False
20004,CW->CC,766.0,False
20309,HQ->TH,172.0,False
20308,TH->HQ,51.0,False
20009,CC->CW,273.0,False
20008,CW->CC,1180.0,True
20311,HQ->TH,118.0,False
20310,TH->HQ,64.0,False
20011,CC->CW,307.0,False
20010,CW->CC,728.0,False
20313,HQ->TH,89.0,False
20312,TH->HQ,85.0,False
20015,CC->CW,173.0,False
20014,CW->CC,737.0,False
20315,HQ->TH,63.0,False
20316,TH->HQ,136.0,False
20017,CC->CW,276.0,False
20016,CW->CC,709.0,False
20321,HQ->TH,72.0,False
20318,TH->HQ,92.0,False
20023,CC->CW,82.0,False
20018,CW->CC,326.0,False
20323,HQ->TH,81.0,False
20320,TH->HQ,242.0,False
20025,CC->CW,124.0,False
20020,CW->CC,419.0,False
20325,HQ->TH,107.0,False
20322,TH->HQ,442.0,False
20027,CC->CW,100.0,False
20022,CW->CC,354.0,False
20327,HQ->TH,250.0,False
20324,TH->HQ,346.0,False
20029,CC->CW,78.0,False
20024,CW->CC,472.0,False
20329,HQ->TH,108.0,False
20326,TH->HQ,602.0,False
20031,CC->CW,116.0,False
20026,CW->CC,491.0,False
20331,HQ->TH,91.0,False
20328,TH->HQ,415.0,False
20033,CC->CW,117.0,False
20028,CW->CC,529.0,False
20333,HQ->TH,80.0,False
20330,TH->HQ,179.0,False
20035,CC->CW,144.0,False
20030,CW->CC,439.0,False
20335,HQ->TH,37.0,False
20332,TH->HQ,150.0,False
20037,CC->CW,120.0,False
20032,CW->CC,516.0,False
20351,HQ->TH,46.0,False
20362,TH->HQ,9.0,False
20041,CC->CW,236.0,False
20034,CW->CC,410.0,False
20353,HQ->TH,21.0,False
20364,TH->HQ,8.0,False
20049,CC->CW,428.0,False
20036,CW->CC,270.0,False
20371,HQ->TH,79.0,False
20374,TH->HQ,8.0,False
20051,CC->CW,149.0,False
20040,CW->CC,524.0,False
20373,HQ->TH,39.0,False
20376,TH->HQ,91.0,False
20053,CC->CW,280.0,False
20042,CW->CC,306.0,False
20377,HQ->TH,27.0,False
20390,TH->HQ,56.0,False
20055,CC->CW,160.0,False
20044,CW->CC,199.0,False
20379,HQ->TH,85.0,False
20841,TH->HQ,164.0,False
20057,CC->CW,600.0,False
20048,CW->CC,474.0,False
20397,HQ->TH,510.0,False
20843,TH->HQ,129.0,False
20059,CC->CW,208.0,False
20050,CW->CC,297.0,False
20842,HQ->TH,227.0,False
20855,TH->HQ,92.0,False
20063,CC->CW,786.0,True
20052,CW->CC,337.0,False
20844,HQ->TH,67.0,False
20865,TH->HQ,135.0,False
20065,CC->CW,604.0,False
20054,CW->CC,287.0,False
20856,HQ->TH,60.0,False
20067,CC->CW,335.0,False
20056,CW->CC,472.0,False
20862,HQ->TH,22.0,False
20069,CC->CW,959.0,True
20058,CW->CC,405.0,False
20071,CC->CW,325.0,False
20062,CW->CC,636.0,False
20073,CC->CW,351.0,False
20064,CW->CC,374.0,False
20075,CC->CW,520.0,False
20066,CW->CC,315.0,False
20077,CC->CW,519.0,False
20068,CW->CC,438.0,False
20079,CC->CW,485.0,False
20072,CW->CC,216.0,False
20083,CC->CW,602.0,False
20078,CW->CC,481.0,False
20085,CC->CW,931.0,True
20082,CW->CC,263.0,False
20087,CC->CW,463.0,False
20084,CW->CC,478.0,False
20089,CC->CW,375.0,False
20086,CW->CC,224.0,False
20091,CC->CW,433.0,False
20088,CW->CC,276.0,False
20093,CC->CW,512.0,False
20090,CW->CC,283.0,False
20095,CC->CW,488.0,False
20092,CW->CC,338.0,False
20097,CC->CW,425.0,False
20094,CW->CC,316.0,False
20099,CC->CW,251.0,False
20098,CW->CC,244.0,False
20101,CC->CW,491.0,False
20100,CW->CC,293.0,False
20105,CC->CW,585.0,False
20104,CW->CC,234.0,False
20107,CC->CW,333.0,False
20106,CW->CC,118.0,False
20109,CC->CW,362.0,False
20108,CW->CC,94.0,False
20111,CC->CW,336.0,False
20110,CW->CC,123.0,False
20113,CC->CW,305.0,False
20112,CW->CC,154.0,False
20115,CC->CW,247.0,False
20114,CW->CC,108.0,False
20117,CC->CW,218.0,False
20116,CW->CC,129.0,False
20121,CC->CW,170.0,False
20120,CW->CC,100.0,False
20123,CC->CW,232.0,False
20122,CW->CC,42.0,False
20127,CC->CW,340.0,False
20126,CW->CC,97.0,False
20129,CC->CW,132.0,False
20128,CW->CC,64.0,False
20196,CW->CC,204.0,False
20198,CW->CC,329.0,False
